Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0805_2012Metric",105.250000,-110.800000,-90.000000,top
"C2","100n","C_0805_2012Metric",110.000000,-95.500000,180.000000,top
"D1","tx","LED_0805_2012Metric",110.000000,-111.500000,0.000000,top
"D2","pwr","LED_0805_2012Metric",115.250000,-111.500000,0.000000,top
"D3","SM712_SOT23","SOT-23",115.562500,-100.000000,0.000000,top
"IC1","MAX13487EESA+T","SOIC127P600X175-8N",108.500000,-100.000000,0.000000,top
"J1","DS1133-S60BPX","RJ25_Wayconn_MJEA-660X1_Horizontal",101.000000,-105.000000,-90.000000,top
"J2","Conn_01x02_Female","PinHeader_2x01_P2.54mm_Vertical",120.225000,-92.000000,0.000000,top
"J3","Conn_01x03_Female","TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",124.000000,-107.500000,90.000000,top
"Q1","MMS9013-H-TP","SOT-23",106.000000,-106.500000,90.000000,top
"R1","R500","R_0805_2012Metric",113.000000,-107.000000,-90.000000,top
"R2","R4.7K","R_0805_2012Metric",110.000000,-107.000000,-90.000000,top
"R3","R500","R_0805_2012Metric",116.000000,-107.087500,-90.000000,top
"R4","R120","R_0805_2012Metric",115.000000,-95.500000,0.000000,top
